year,hrs,count,site,species
2000,760.5,214,Hawk Ridge,Circus hudsonius
2023,797.42,931,Corpus Christi,Circus hudsonius
2022,835.1,755,Corpus Christi,Circus hudsonius
2021,849.83,643,Corpus Christi,Circus hudsonius
2020,819.5,453,Corpus Christi,Circus hudsonius
2019,852.75,436,Corpus Christi,Circus hudsonius
2018,831.53,504,Corpus Christi,Circus hudsonius
2017,828.25,351,Corpus Christi,Circus hudsonius
2016,634,161,Corpus Christi,Circus hudsonius
2015,597,178,Corpus Christi,Circus hudsonius
2014,587,171,Corpus Christi,Circus hudsonius
2013,595.75,253,Corpus Christi,Circus hudsonius
2012,736.08,542,Corpus Christi,Circus hudsonius
2011,693.25,546,Corpus Christi,Circus hudsonius
2010,689.25,257,Corpus Christi,Circus hudsonius
2009,688,282,Corpus Christi,Circus hudsonius
2008,830.42,219,Corpus Christi,Circus hudsonius
2007,798.75,223,Corpus Christi,Circus hudsonius
2006,704.5,614,Corpus Christi,Circus hudsonius
2005,715.75,157,Corpus Christi,Circus hudsonius
2004,701,101,Corpus Christi,Circus hudsonius
2003,643.5,100,Corpus Christi,Circus hudsonius
2002,676.5,109,Corpus Christi,Circus hudsonius
2001,723.5,162,Corpus Christi,Circus hudsonius
2000,728.58,153,Corpus Christi,Circus hudsonius
2023,,,Golden Gate,Circus hudsonius
2022,410.75,191,Golden Gate,Circus hudsonius
2021,299.67,426,Golden Gate,Circus hudsonius
2020,443.62,810,Golden Gate,Circus hudsonius
2019,,,Golden Gate,Circus hudsonius
2018,407.62,600,Golden Gate,Circus hudsonius
2017,473.5,905,Golden Gate,Circus hudsonius
2016,439.67,354,Golden Gate,Circus hudsonius
2015,539.53,442,Golden Gate,Circus hudsonius
2014,487.7,392,Golden Gate,Circus hudsonius
2013,490.08,416,Golden Gate,Circus hudsonius
2012,441.55,523,Golden Gate,Circus hudsonius
2011,438.78,335,Golden Gate,Circus hudsonius
2010,465.3,229,Golden Gate,Circus hudsonius
2009,496.75,614,Golden Gate,Circus hudsonius
2008,508.4,454,Golden Gate,Circus hudsonius
2007,523.5,1002,Golden Gate,Circus hudsonius
2006,492.25,1090,Golden Gate,Circus hudsonius
2005,454.5,460,Golden Gate,Circus hudsonius
2004,528.67,956,Golden Gate,Circus hudsonius
2003,500.28,352,Golden Gate,Circus hudsonius
2002,523.58,1318,Golden Gate,Circus hudsonius
2001,445.37,700,Golden Gate,Circus hudsonius
2000,550.52,559,Golden Gate,Circus hudsonius
2023,893.6,217,Veracruz,Circus hudsonius
2022,895.77,243,Veracruz,Circus hudsonius
2021,,,Veracruz,Circus hudsonius
2020,,,Veracruz,Circus hudsonius
2019,883.55,222,Veracruz,Circus hudsonius
2018,690.52,217,Veracruz,Circus hudsonius
2017,840.25,308,Veracruz,Circus hudsonius
2016,838.75,79,Veracruz,Circus hudsonius
2015,754.58,74,Veracruz,Circus hudsonius
2014,875.92,195,Veracruz,Circus hudsonius
2013,868.9,202,Veracruz,Circus hudsonius
2012,901.65,812,Veracruz,Circus hudsonius
2011,895.75,451,Veracruz,Circus hudsonius
2010,801.15,165,Veracruz,Circus hudsonius
2009,828.45,155,Veracruz,Circus hudsonius
2008,877.35,115,Veracruz,Circus hudsonius
2007,907.98,116,Veracruz,Circus hudsonius
2006,890.45,337,Veracruz,Circus hudsonius
2005,873.75,95,Veracruz,Circus hudsonius
2004,898.75,49,Veracruz,Circus hudsonius
2003,893.48,59,Veracruz,Circus hudsonius
2002,877.42,183,Veracruz,Circus hudsonius
2001,867.67,381,Veracruz,Circus hudsonius
2000,862.17,378,Veracruz,Circus hudsonius
2023,367,20,Bonney Butte,Circus hudsonius
2022,468.17,16,Bonney Butte,Circus hudsonius
2021,404.33,16,Bonney Butte,Circus hudsonius
2020,,,Bonney Butte,Circus hudsonius
2019,302.42,11,Bonney Butte,Circus hudsonius
2018,394.17,35,Bonney Butte,Circus hudsonius
2017,412.08,22,Bonney Butte,Circus hudsonius
2016,293.75,12,Bonney Butte,Circus hudsonius
2015,311.57,24,Bonney Butte,Circus hudsonius
2014,351.57,18,Bonney Butte,Circus hudsonius
2013,331.75,13,Bonney Butte,Circus hudsonius
2012,451.45,24,Bonney Butte,Circus hudsonius
2011,414.33,39,Bonney Butte,Circus hudsonius
2010,421.42,18,Bonney Butte,Circus hudsonius
2009,425.75,33,Bonney Butte,Circus hudsonius
2008,481.83,19,Bonney Butte,Circus hudsonius
2007,396,13,Bonney Butte,Circus hudsonius
2006,459.92,33,Bonney Butte,Circus hudsonius
2005,392.92,38,Bonney Butte,Circus hudsonius
2004,340.58,29,Bonney Butte,Circus hudsonius
2003,402.42,28,Bonney Butte,Circus hudsonius
2002,423.67,27,Bonney Butte,Circus hudsonius
2001,415.75,7,Bonney Butte,Circus hudsonius
2000,328.5,13,Bonney Butte,Circus hudsonius
2023,1112.58,64,Hawk Mountain,Falco peregrinus
2022,1075.92,61,Hawk Mountain,Falco peregrinus
2021,1123.07,71,Hawk Mountain,Falco peregrinus
2020,1084.6,83,Hawk Mountain,Falco peregrinus
2019,1080.03,56,Hawk Mountain,Falco peregrinus
2018,1027.02,61,Hawk Mountain,Falco peregrinus
2017,1013.22,68,Hawk Mountain,Falco peregrinus
2016,1137.5,48,Hawk Mountain,Falco peregrinus
2015,1127.67,56,Hawk Mountain,Falco peregrinus
2014,1102.03,90,Hawk Mountain,Falco peregrinus
2013,1125.45,47,Hawk Mountain,Falco peregrinus
2012,1108.2,54,Hawk Mountain,Falco peregrinus
2011,1076.07,57,Hawk Mountain,Falco peregrinus
2010,1087.1,68,Hawk Mountain,Falco peregrinus
2009,1032.63,67,Hawk Mountain,Falco peregrinus
2008,1082.32,61,Hawk Mountain,Falco peregrinus
2007,1103.18,38,Hawk Mountain,Falco peregrinus
2006,1114.82,62,Hawk Mountain,Falco peregrinus
2005,1143.12,55,Hawk Mountain,Falco peregrinus
2004,1079.95,44,Hawk Mountain,Falco peregrinus
2003,1052.72,55,Hawk Mountain,Falco peregrinus
2002,1039.05,62,Hawk Mountain,Falco peregrinus
2001,1136.82,36,Hawk Mountain,Falco peregrinus
2000,1125.43,47,Hawk Mountain,Falco peregrinus
2023,714.3,34,Goshutes,Falco peregrinus
2022,674.87,13,Goshutes,Falco peregrinus
2021,672.13,26,Goshutes,Falco peregrinus
2020,,,Goshutes,Falco peregrinus
2019,662.6,21,Goshutes,Falco peregrinus
2018,706.75,40,Goshutes,Falco peregrinus
2017,697.75,25,Goshutes,Falco peregrinus
2016,649.17,26,Goshutes,Falco peregrinus
2015,616.25,45,Goshutes,Falco peregrinus
2014,641.17,33,Goshutes,Falco peregrinus
2013,563.83,26,Goshutes,Falco peregrinus
2012,741.25,11,Goshutes,Falco peregrinus
2011,682.03,46,Goshutes,Falco peregrinus
2010,692.6,42,Goshutes,Falco peregrinus
2009,733.58,23,Goshutes,Falco peregrinus
2008,761.07,22,Goshutes,Falco peregrinus
2007,747.97,18,Goshutes,Falco peregrinus
2006,719.58,17,Goshutes,Falco peregrinus
2005,695.3,14,Goshutes,Falco peregrinus
2004,641.75,11,Goshutes,Falco peregrinus
2003,688.25,9,Goshutes,Falco peregrinus
2002,725.67,15,Goshutes,Falco peregrinus
2001,787.33,29,Goshutes,Falco peregrinus
2000,681.5,21,Goshutes,Falco peregrinus
2023,900.62,820,Cape May,Falco peregrinus
2022,896.25,921,Cape May,Falco peregrinus
2021,898,776,Cape May,Falco peregrinus
2020,873.27,733,Cape May,Falco peregrinus
2019,905.67,480,Cape May,Falco peregrinus
2018,914.43,1521,Cape May,Falco peregrinus
2017,900.32,1117,Cape May,Falco peregrinus
2016,933.32,969,Cape May,Falco peregrinus
2015,884.55,437,Cape May,Falco peregrinus
2014,906.67,995,Cape May,Falco peregrinus
2013,866.58,1172,Cape May,Falco peregrinus
2012,1092,1161,Cape May,Falco peregrinus
2011,800.53,1080,Cape May,Falco peregrinus
2010,882.25,1415,Cape May,Falco peregrinus
2009,869.2,1206,Cape May,Falco peregrinus
2008,808.5,1412,Cape May,Falco peregrinus
2007,882.17,1333,Cape May,Falco peregrinus
2006,743.58,1111,Cape May,Falco peregrinus
2005,832.5,1164,Cape May,Falco peregrinus
2004,857.43,1017,Cape May,Falco peregrinus
2003,896.52,1034,Cape May,Falco peregrinus
2002,895.8,1050,Cape May,Falco peregrinus
2001,822.8,588,Cape May,Falco peregrinus
2000,859.33,988,Cape May,Falco peregrinus
2023,564,65,Detroit River,Falco peregrinus
2022,567.25,62,Detroit River,Falco peregrinus
2021,546,70,Detroit River,Falco peregrinus
2020,568,102,Detroit River,Falco peregrinus
2019,575.25,53,Detroit River,Falco peregrinus
2018,541.75,74,Detroit River,Falco peregrinus
2017,636.75,67,Detroit River,Falco peregrinus
2016,635.5,28,Detroit River,Falco peregrinus
2015,648,37,Detroit River,Falco peregrinus
2014,627.5,51,Detroit River,Falco peregrinus
2013,642.5,46,Detroit River,Falco peregrinus
2012,619,30,Detroit River,Falco peregrinus
2011,591.5,21,Detroit River,Falco peregrinus
2010,564.5,40,Detroit River,Falco peregrinus
2009,519.42,35,Detroit River,Falco peregrinus
2008,464.9,23,Detroit River,Falco peregrinus
2007,598.5,67,Detroit River,Falco peregrinus
2006,475.75,38,Detroit River,Falco peregrinus
2005,456.25,37,Detroit River,Falco peregrinus
2004,478.75,20,Detroit River,Falco peregrinus
2003,545.33,82,Detroit River,Falco peregrinus
2002,561.5,52,Detroit River,Falco peregrinus
2001,526,48,Detroit River,Falco peregrinus
2000,510.2,24,Detroit River,Falco peregrinus
2023,682.5,3289,Florida Keys,Falco peregrinus
2022,866.5,2433,Florida Keys,Falco peregrinus
2021,904.25,3283,Florida Keys,Falco peregrinus
2020,455.25,3792,Florida Keys,Falco peregrinus
2019,409.25,2517,Florida Keys,Falco peregrinus
2018,409.75,3588,Florida Keys,Falco peregrinus
2017,25.75,3,Florida Keys,Falco peregrinus
2016,428,3251,Florida Keys,Falco peregrinus
2015,298.25,4559,Florida Keys,Falco peregrinus
2014,444.75,4216,Florida Keys,Falco peregrinus
2013,362,4010,Florida Keys,Falco peregrinus
2012,414.5,3836,Florida Keys,Falco peregrinus
2011,420,2976,Florida Keys,Falco peregrinus
2010,297.5,1530,Florida Keys,Falco peregrinus
2009,,,Florida Keys,Falco peregrinus
2008,348.75,2757,Florida Keys,Falco peregrinus
2007,361,2113,Florida Keys,Falco peregrinus
2006,385.25,1866,Florida Keys,Falco peregrinus
2005,329.5,1344,Florida Keys,Falco peregrinus
2004,403.17,1695,Florida Keys,Falco peregrinus
2003,462.5,2858,Florida Keys,Falco peregrinus
2002,479.25,2001,Florida Keys,Falco peregrinus
2001,459.5,1432,Florida Keys,Falco peregrinus
2000,495,1894,Florida Keys,Falco peregrinus
2023,963.97,140,Hawk Ridge,Falco peregrinus
2022,899.08,64,Hawk Ridge,Falco peregrinus
2021,904.67,114,Hawk Ridge,Falco peregrinus
2020,716.25,79,Hawk Ridge,Falco peregrinus
2019,859.42,155,Hawk Ridge,Falco peregrinus
2018,723.7,110,Hawk Ridge,Falco peregrinus
2017,721.18,128,Hawk Ridge,Falco peregrinus
2016,828,182,Hawk Ridge,Falco peregrinus
2015,804.33,149,Hawk Ridge,Falco peregrinus
2014,846.93,105,Hawk Ridge,Falco peregrinus
2013,830,154,Hawk Ridge,Falco peregrinus
2012,888.65,53,Hawk Ridge,Falco peregrinus
2011,961.4,96,Hawk Ridge,Falco peregrinus
2010,902.12,116,Hawk Ridge,Falco peregrinus
2009,908.27,115,Hawk Ridge,Falco peregrinus
2008,927.92,65,Hawk Ridge,Falco peregrinus
2007,784.1,86,Hawk Ridge,Falco peregrinus
2006,740,40,Hawk Ridge,Falco peregrinus
2005,756,76,Hawk Ridge,Falco peregrinus
2004,747.5,91,Hawk Ridge,Falco peregrinus
2003,798.5,34,Hawk Ridge,Falco peregrinus
2002,769.75,88,Hawk Ridge,Falco peregrinus
2001,774.5,42,Hawk Ridge,Falco peregrinus
2000,760.5,86,Hawk Ridge,Falco peregrinus
2023,797.42,200,Corpus Christi,Falco peregrinus
2022,835.1,161,Corpus Christi,Falco peregrinus
2021,849.83,169,Corpus Christi,Falco peregrinus
2020,819.5,163,Corpus Christi,Falco peregrinus
2019,852.75,478,Corpus Christi,Falco peregrinus
2018,831.53,393,Corpus Christi,Falco peregrinus
2017,828.25,343,Corpus Christi,Falco peregrinus
2016,634,224,Corpus Christi,Falco peregrinus
2015,597,142,Corpus Christi,Falco peregrinus
2014,587,237,Corpus Christi,Falco peregrinus
2013,595.75,291,Corpus Christi,Falco peregrinus
2012,736.08,317,Corpus Christi,Falco peregrinus
2011,693.25,181,Corpus Christi,Falco peregrinus
2010,689.25,165,Corpus Christi,Falco peregrinus
2009,688,289,Corpus Christi,Falco peregrinus
2008,830.42,205,Corpus Christi,Falco peregrinus
2007,798.75,247,Corpus Christi,Falco peregrinus
2006,704.5,309,Corpus Christi,Falco peregrinus
2005,715.75,230,Corpus Christi,Falco peregrinus
2004,701,144,Corpus Christi,Falco peregrinus
2003,643.5,169,Corpus Christi,Falco peregrinus
2002,676.5,176,Corpus Christi,Falco peregrinus
2001,723.5,114,Corpus Christi,Falco peregrinus
2000,728.58,65,Corpus Christi,Falco peregrinus
2023,,,Golden Gate,Falco peregrinus
2022,410.75,4,Golden Gate,Falco peregrinus
2021,299.67,5,Golden Gate,Falco peregrinus
2020,443.62,196,Golden Gate,Falco peregrinus
2019,,,Golden Gate,Falco peregrinus
2018,407.62,205,Golden Gate,Falco peregrinus
2017,473.5,252,Golden Gate,Falco peregrinus
2016,439.67,198,Golden Gate,Falco peregrinus
2015,539.53,225,Golden Gate,Falco peregrinus
2014,487.7,276,Golden Gate,Falco peregrinus
2013,490.08,162,Golden Gate,Falco peregrinus
2012,441.55,246,Golden Gate,Falco peregrinus
2011,438.78,264,Golden Gate,Falco peregrinus
2010,465.3,208,Golden Gate,Falco peregrinus
2009,496.75,259,Golden Gate,Falco peregrinus
2008,508.4,224,Golden Gate,Falco peregrinus
2007,523.5,181,Golden Gate,Falco peregrinus
2006,492.25,237,Golden Gate,Falco peregrinus
2005,454.5,219,Golden Gate,Falco peregrinus
2004,528.67,228,Golden Gate,Falco peregrinus
2003,500.28,229,Golden Gate,Falco peregrinus
2002,523.58,106,Golden Gate,Falco peregrinus
2001,445.37,134,Golden Gate,Falco peregrinus
2000,550.52,177,Golden Gate,Falco peregrinus
2023,893.6,214,Veracruz,Falco peregrinus
2022,895.77,327,Veracruz,Falco peregrinus
2021,,,Veracruz,Falco peregrinus
2020,,,Veracruz,Falco peregrinus
2019,883.55,663,Veracruz,Falco peregrinus
2018,690.52,704,Veracruz,Falco peregrinus
2017,840.25,601,Veracruz,Falco peregrinus
2016,838.75,593,Veracruz,Falco peregrinus
2015,754.58,513,Veracruz,Falco peregrinus
2014,875.92,739,Veracruz,Falco peregrinus
2013,868.9,529,Veracruz,Falco peregrinus
2012,901.65,776,Veracruz,Falco peregrinus
2011,895.75,746,Veracruz,Falco peregrinus
2010,801.15,370,Veracruz,Falco peregrinus
2009,828.45,642,Veracruz,Falco peregrinus
2008,877.35,410,Veracruz,Falco peregrinus
2007,907.98,568,Veracruz,Falco peregrinus
2006,890.45,505,Veracruz,Falco peregrinus
2005,873.75,340,Veracruz,Falco peregrinus
2004,898.75,534,Veracruz,Falco peregrinus
2003,893.48,541,Veracruz,Falco peregrinus
2002,877.42,620,Veracruz,Falco peregrinus
2001,867.67,583,Veracruz,Falco peregrinus
2000,862.17,593,Veracruz,Falco peregrinus
2023,367,25,Bonney Butte,Falco peregrinus
2022,468.17,12,Bonney Butte,Falco peregrinus
2021,404.33,32,Bonney Butte,Falco peregrinus
2020,,,Bonney Butte,Falco peregrinus
2019,302.42,9,Bonney Butte,Falco peregrinus
2018,394.17,17,Bonney Butte,Falco peregrinus
2017,412.08,9,Bonney Butte,Falco peregrinus
2016,293.75,17,Bonney Butte,Falco peregrinus
2015,311.57,12,Bonney Butte,Falco peregrinus
2014,351.57,17,Bonney Butte,Falco peregrinus
2013,331.75,7,Bonney Butte,Falco peregrinus
2012,451.45,10,Bonney Butte,Falco peregrinus
2011,414.33,21,Bonney Butte,Falco peregrinus
2010,421.42,10,Bonney Butte,Falco peregrinus
2009,425.75,11,Bonney Butte,Falco peregrinus
2008,481.83,11,Bonney Butte,Falco peregrinus
2007,396,5,Bonney Butte,Falco peregrinus
2006,459.92,10,Bonney Butte,Falco peregrinus
2005,392.92,14,Bonney Butte,Falco peregrinus
2004,340.58,14,Bonney Butte,Falco peregrinus
2003,402.42,14,Bonney Butte,Falco peregrinus
2002,423.67,9,Bonney Butte,Falco peregrinus
2001,415.75,3,Bonney Butte,Falco peregrinus
2000,328.5,8,Bonney Butte,Falco peregrinus
2023,1112.58,251,Hawk Mountain,Falco sparverius
2022,1075.92,312,Hawk Mountain,Falco sparverius
2021,1123.07,371,Hawk Mountain,Falco sparverius
2020,1084.6,416,Hawk Mountain,Falco sparverius
2019,1080.03,262,Hawk Mountain,Falco sparverius
2018,1027.02,427,Hawk Mountain,Falco sparverius
2017,1013.22,234,Hawk Mountain,Falco sparverius
2016,1137.5,218,Hawk Mountain,Falco sparverius
2015,1127.67,239,Hawk Mountain,Falco sparverius
2014,1102.03,380,Hawk Mountain,Falco sparverius
2013,1125.45,325,Hawk Mountain,Falco sparverius
2012,1108.2,515,Hawk Mountain,Falco sparverius
2011,1076.07,389,Hawk Mountain,Falco sparverius
2010,1087.1,566,Hawk Mountain,Falco sparverius
2009,1032.63,460,Hawk Mountain,Falco sparverius
2008,1082.32,294,Hawk Mountain,Falco sparverius
2007,1103.18,528,Hawk Mountain,Falco sparverius
2006,1114.82,411,Hawk Mountain,Falco sparverius
2005,1143.12,467,Hawk Mountain,Falco sparverius
2004,1079.95,358,Hawk Mountain,Falco sparverius
2003,1052.72,376,Hawk Mountain,Falco sparverius
2002,1039.05,481,Hawk Mountain,Falco sparverius
2001,1136.82,581,Hawk Mountain,Falco sparverius
2000,1125.43,520,Hawk Mountain,Falco sparverius
2023,714.3,1194,Goshutes,Falco sparverius
2022,674.87,1012,Goshutes,Falco sparverius
2021,672.13,567,Goshutes,Falco sparverius
2019,662.6,529,Goshutes,Falco sparverius
2018,706.75,1811,Goshutes,Falco sparverius
2017,697.75,616,Goshutes,Falco sparverius
2016,649.17,893,Goshutes,Falco sparverius
2015,616.25,1881,Goshutes,Falco sparverius
2014,641.17,1730,Goshutes,Falco sparverius
2013,563.83,850,Goshutes,Falco sparverius
2012,741.25,726,Goshutes,Falco sparverius
2011,682.03,1132,Goshutes,Falco sparverius
2010,692.6,1170,Goshutes,Falco sparverius
2009,733.58,940,Goshutes,Falco sparverius
2008,761.07,965,Goshutes,Falco sparverius
2007,747.97,1174,Goshutes,Falco sparverius
2006,719.58,820,Goshutes,Falco sparverius
2005,695.3,1468,Goshutes,Falco sparverius
2004,641.75,1709,Goshutes,Falco sparverius
2003,688.25,1768,Goshutes,Falco sparverius
2002,725.67,1503,Goshutes,Falco sparverius
2001,787.33,2774,Goshutes,Falco sparverius
2000,681.5,3149,Goshutes,Falco sparverius
2023,900.62,4450,Cape May,Falco sparverius
2022,896.25,5037,Cape May,Falco sparverius
2021,898,4555,Cape May,Falco sparverius
2020,873.27,4769,Cape May,Falco sparverius
2019,905.67,2366,Cape May,Falco sparverius
2018,914.43,10536,Cape May,Falco sparverius
2017,900.32,6858,Cape May,Falco sparverius
2016,933.32,3444,Cape May,Falco sparverius
2015,884.55,2237,Cape May,Falco sparverius
2014,906.67,4509,Cape May,Falco sparverius
2013,866.58,3428,Cape May,Falco sparverius
2012,1092,5623,Cape May,Falco sparverius
2011,800.53,5247,Cape May,Falco sparverius
2010,882.25,5651,Cape May,Falco sparverius
2009,869.2,4016,Cape May,Falco sparverius
2008,808.5,3034,Cape May,Falco sparverius
2007,882.17,4646,Cape May,Falco sparverius
2006,743.58,5255,Cape May,Falco sparverius
2005,832.5,6163,Cape May,Falco sparverius
2004,857.43,2672,Cape May,Falco sparverius
2003,896.52,7345,Cape May,Falco sparverius
2002,895.8,5405,Cape May,Falco sparverius
2001,822.8,5188,Cape May,Falco sparverius
2000,859.33,6392,Cape May,Falco sparverius
2023,564,1323,Detroit River,Falco sparverius
2022,567.25,981,Detroit River,Falco sparverius
2021,546,1068,Detroit River,Falco sparverius
2020,568,641,Detroit River,Falco sparverius
2019,575.25,718,Detroit River,Falco sparverius
2018,541.75,1104,Detroit River,Falco sparverius
2017,636.75,538,Detroit River,Falco sparverius
2016,635.5,551,Detroit River,Falco sparverius
2015,648,816,Detroit River,Falco sparverius
2014,627.5,563,Detroit River,Falco sparverius
2013,642.5,681,Detroit River,Falco sparverius
2012,619,531,Detroit River,Falco sparverius
2011,591.5,664,Detroit River,Falco sparverius
2010,564.5,675,Detroit River,Falco sparverius
2009,519.42,441,Detroit River,Falco sparverius
2008,464.9,404,Detroit River,Falco sparverius
2007,598.5,1275,Detroit River,Falco sparverius
2006,475.75,1314,Detroit River,Falco sparverius
2005,456.25,1018,Detroit River,Falco sparverius
2004,478.75,470,Detroit River,Falco sparverius
2003,545.33,2128,Detroit River,Falco sparverius
2002,561.5,2277,Detroit River,Falco sparverius
2001,526,1026,Detroit River,Falco sparverius
2000,510.2,790,Detroit River,Falco sparverius
2023,682.5,3041,Florida Keys,Falco sparverius
2022,866.5,3202,Florida Keys,Falco sparverius
2021,904.25,2577,Florida Keys,Falco sparverius
2020,455.25,2643,Florida Keys,Falco sparverius
2019,409.25,2121,Florida Keys,Falco sparverius
2018,409.75,1489,Florida Keys,Falco sparverius
2017,25.75,0,Florida Keys,Falco sparverius
2016,428,1814,Florida Keys,Falco sparverius
2015,298.25,3125,Florida Keys,Falco sparverius
2014,444.75,3638,Florida Keys,Falco sparverius
2013,362,2018,Florida Keys,Falco sparverius
2012,414.5,3242,Florida Keys,Falco sparverius
2011,420,2101,Florida Keys,Falco sparverius
2010,297.5,1305,Florida Keys,Falco sparverius
2008,348.75,1788,Florida Keys,Falco sparverius
2007,361,2257,Florida Keys,Falco sparverius
2006,385.25,1275,Florida Keys,Falco sparverius
2005,329.5,1437,Florida Keys,Falco sparverius
2004,403.17,1849,Florida Keys,Falco sparverius
2003,462.5,2130,Florida Keys,Falco sparverius
2002,479.25,1825,Florida Keys,Falco sparverius
2001,459.5,4338,Florida Keys,Falco sparverius
2000,495,3029,Florida Keys,Falco sparverius
2023,963.97,1811,Hawk Ridge,Falco sparverius
2022,899.08,1209,Hawk Ridge,Falco sparverius
2021,904.67,1268,Hawk Ridge,Falco sparverius
2020,716.25,701,Hawk Ridge,Falco sparverius
2019,859.42,1228,Hawk Ridge,Falco sparverius
2018,723.7,697,Hawk Ridge,Falco sparverius
2017,721.18,1500,Hawk Ridge,Falco sparverius
2016,828,981,Hawk Ridge,Falco sparverius
2015,804.33,1287,Hawk Ridge,Falco sparverius
2014,846.93,1318,Hawk Ridge,Falco sparverius
2013,830,1200,Hawk Ridge,Falco sparverius
2012,888.65,1381,Hawk Ridge,Falco sparverius
2011,961.4,1766,Hawk Ridge,Falco sparverius
2010,902.12,1605,Hawk Ridge,Falco sparverius
2009,908.27,1353,Hawk Ridge,Falco sparverius
2008,927.92,1162,Hawk Ridge,Falco sparverius
2007,784.1,1579,Hawk Ridge,Falco sparverius
2006,740,986,Hawk Ridge,Falco sparverius
2005,756,1891,Hawk Ridge,Falco sparverius
2004,747.5,1997,Hawk Ridge,Falco sparverius
2003,798.5,1248,Hawk Ridge,Falco sparverius
2002,769.75,3637,Hawk Ridge,Falco sparverius
2001,774.5,1953,Hawk Ridge,Falco sparverius
2000,760.5,2619,Hawk Ridge,Falco sparverius
2023,797.42,4115,Corpus Christi,Falco sparverius
2022,835.1,1684,Corpus Christi,Falco sparverius
2021,849.83,1140,Corpus Christi,Falco sparverius
2020,819.5,827,Corpus Christi,Falco sparverius
2019,852.75,903,Corpus Christi,Falco sparverius
2018,831.53,1195,Corpus Christi,Falco sparverius
2017,828.25,960,Corpus Christi,Falco sparverius
2016,634,851,Corpus Christi,Falco sparverius
2015,597,1142,Corpus Christi,Falco sparverius
2014,587,1016,Corpus Christi,Falco sparverius
2013,595.75,1353,Corpus Christi,Falco sparverius
2012,736.08,1290,Corpus Christi,Falco sparverius
2011,693.25,1381,Corpus Christi,Falco sparverius
2010,689.25,614,Corpus Christi,Falco sparverius
2009,688,869,Corpus Christi,Falco sparverius
2008,830.42,1127,Corpus Christi,Falco sparverius
2007,798.75,850,Corpus Christi,Falco sparverius
2006,704.5,1137,Corpus Christi,Falco sparverius
2005,715.75,485,Corpus Christi,Falco sparverius
2004,701,365,Corpus Christi,Falco sparverius
2003,643.5,860,Corpus Christi,Falco sparverius
2002,676.5,811,Corpus Christi,Falco sparverius
2001,723.5,292,Corpus Christi,Falco sparverius
2000,728.58,509,Corpus Christi,Falco sparverius
2022,410.75,115,Golden Gate,Falco sparverius
2021,299.67,126,Golden Gate,Falco sparverius
2020,443.62,286,Golden Gate,Falco sparverius
2018,407.62,349,Golden Gate,Falco sparverius
2017,473.5,268,Golden Gate,Falco sparverius
2016,439.67,223,Golden Gate,Falco sparverius
2015,539.53,297,Golden Gate,Falco sparverius
2014,487.7,376,Golden Gate,Falco sparverius
2013,490.08,428,Golden Gate,Falco sparverius
2012,441.55,396,Golden Gate,Falco sparverius
2011,438.78,358,Golden Gate,Falco sparverius
2010,465.3,458,Golden Gate,Falco sparverius
2009,496.75,458,Golden Gate,Falco sparverius
2008,508.4,377,Golden Gate,Falco sparverius
2007,523.5,378,Golden Gate,Falco sparverius
2006,492.25,611,Golden Gate,Falco sparverius
2005,454.5,627,Golden Gate,Falco sparverius
2004,528.67,545,Golden Gate,Falco sparverius
2003,500.28,690,Golden Gate,Falco sparverius
2002,523.58,666,Golden Gate,Falco sparverius
2001,445.37,577,Golden Gate,Falco sparverius
2000,550.52,471,Golden Gate,Falco sparverius
2023,893.6,4193,Veracruz,Falco sparverius
2022,895.77,4001,Veracruz,Falco sparverius
2019,883.55,2597,Veracruz,Falco sparverius
2018,690.52,3062,Veracruz,Falco sparverius
2017,840.25,3053,Veracruz,Falco sparverius
2016,838.75,1820,Veracruz,Falco sparverius
2015,754.58,2906,Veracruz,Falco sparverius
2014,875.92,2707,Veracruz,Falco sparverius
2013,868.9,2678,Veracruz,Falco sparverius
2012,901.65,3527,Veracruz,Falco sparverius
2011,895.75,3623,Veracruz,Falco sparverius
2010,801.15,2166,Veracruz,Falco sparverius
2009,828.45,2448,Veracruz,Falco sparverius
2008,877.35,2213,Veracruz,Falco sparverius
2007,907.98,2244,Veracruz,Falco sparverius
2006,890.45,2559,Veracruz,Falco sparverius
2005,873.75,2407,Veracruz,Falco sparverius
2004,898.75,2295,Veracruz,Falco sparverius
2003,893.48,3581,Veracruz,Falco sparverius
2002,877.42,2964,Veracruz,Falco sparverius
2001,867.67,2969,Veracruz,Falco sparverius
2000,862.17,5901,Veracruz,Falco sparverius
2023,367,15,Bonney Butte,Falco sparverius
2022,468.17,16,Bonney Butte,Falco sparverius
2021,404.33,14,Bonney Butte,Falco sparverius
2019,302.42,10,Bonney Butte,Falco sparverius
2018,394.17,7,Bonney Butte,Falco sparverius
2017,412.08,5,Bonney Butte,Falco sparverius
2016,293.75,7,Bonney Butte,Falco sparverius
2015,311.57,8,Bonney Butte,Falco sparverius
2014,351.57,10,Bonney Butte,Falco sparverius
2013,331.75,14,Bonney Butte,Falco sparverius
2012,451.45,22,Bonney Butte,Falco sparverius
2011,414.33,8,Bonney Butte,Falco sparverius
2010,421.42,9,Bonney Butte,Falco sparverius
2009,425.75,27,Bonney Butte,Falco sparverius
2008,481.83,16,Bonney Butte,Falco sparverius
2007,396,7,Bonney Butte,Falco sparverius
